Sample_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,
ACH-000695,COR-L47,CORL47,CORL47_LUNG,,,Male,ECACC,1,-2.18767255443479,Suspension,RPMI + 10% FBS + 2mM Glutamine,60.3,CVCL_2415,,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67,,,lung,SCLC,,,
ACH-000924,NCI-H2172,NCIH2172,NCIH2172_LUNG,,1298353,Female,ATCC,2,-4.91201072548061,Adherent,RPMI + 10% FBS,87,CVCL_1537,1692,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00926,,lung,NSCLC,,,
ACH-000036,U343,U343,U343_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-3.53606402358353,Adherent,DMEM, 10% FBS,82.2,CVCL_4773,,central_nervous_system,,Brain Cancer,Glioblastoma,64,,,central_nervous_system,glioma,glioblastoma,
ACH-001302,COG-N-305,COGN305,COGN305_AUTONOMIC_GANGLIA,,,Unknown,Children&#39,s Oncology Group,2,-2.09453905210026,not found,not found,83.5,CVCL_AX42,,autonomic_ganglia,,Neuroblastoma,,,,,peripheral_nervous_system,neuroblastoma,,MYCN_amp
ACH-000375,G-402,G402,G402_SOFT_TISSUE,,907298,Female,ATCC,2,-3.2810179994898,,McCoy's 5A + 10% FBS,81.1,CVCL_1221,1089,kidney,Primary,Kidney Cancer,Renal Leiomyoblastoma,0.75,SIDM00855,,soft_tissue,malignant_rhabdoid_tumor,renal_leiomyoblastoma,,
ACH-000667,HCC-44,HCC44,HCC44_LUNG,,1240145,Female,DSMZ,2,-4.70865133609932,,RPMI + 10% FBS,93.3,CVCL_2060,1247,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",54,SIDM01069,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000739,Hep G2,HEPG2,HEPG2_LIVER,,,Male,ATCC,2,-3.30482823908356,Adherent,EMEM + 10% FBS,84.1,CVCL_0027,,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,15,SIDM00904,,liver,hepatocellular_carcinoma,,,
ACH-001786,SNU-1544,SNU1544,SNU1544_LARGE_INTESTINE,,,Female,KCLB,2,-2.32080874843772,Adherent,"RPMI 1640 + 10% FBS with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3; Penicillin-streptomycin were added to culture media (final concentration, 100 U/mL)",62,,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,38,,,colorectal,colorectal_adenocarcinoma,,,
ACH-001655,SKN,SKN,SKN_ENDOMETRIUM,,1240215,Female,JCRB,2,-2.57884661473869,Adherent,Ham's F12 + 10% FBS,54,CVCL_3167,791,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Squamous Cell Carcinoma,52,SIDM00377,,uterus,endometrial_squamous,,,
ACH-000279,EWS502,EWS502,EWS502_BONE,,,Unknown,Academic lab,2,-4.55066787636403,not found,not found,84.3,CVCL_S740,,bone,,Bone Cancer,Ewings Sarcoma,,,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-001674,TGW,TGW,TGW_AUTONOMIC_GANGLIA,,910780,Male,JCRB,2,-4.28410048930734,Adherent,EMEM + 10% FBS,89.4,CVCL_1771,1752,autonomic_ganglia,Primary,Neuroblastoma,,,SIDM00324,,peripheral_nervous_system,neuroblastoma,,,
ACH-000622,KNS-42,KNS42,KNS42_CENTRAL_NERVOUS_SYSTEM,,907282,Male,HSRRB,2,-3.12387349364684,Adherent,EMEM + 5% FBS,61.9,CVCL_0378,1149,central_nervous_system,Primary,Brain Cancer,Glioblastoma,16,SIDM00607,,central_nervous_system,glioma,glioblastoma,,
ACH-000722,SNU-C1,SNUC1,SNUC1_LARGE_INTESTINE,,910905,Male,ATCC,,,,,,CVCL_1708,1066,abdomen,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,71,SIDM01197,,colorectal,colorectal_adenocarcinoma,,,
ACH-000517,SNU-410,SNU410,SNU410_PANCREAS,,,Male,KCLB,3,-5.73403140376198,,RPMI + 10% FBS,81.4,CVCL_5059,,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",53,,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000471,Li-7,LI7,LI7_LIVER,,,Male,RIKEN,2,-5.53105556848606,,RPMI + 10% FBS,93.1,CVCL_3840,,liver,,Liver Cancer,,45,,,liver,,,,
ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,,749714,Female,ATCC,2,-5.06464100361403,Adherent,RPMI + 10% FBS,87.5,CVCL_0290,936,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,24,SIDM00874,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,
ACH-000763,MM1-S,MM1S,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1659818,Female,Academic lab,2,-2.80276025178467,Mixed adherent and suspension,RPMI + 10% FBS,93.1,CVCL_8792,995,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,,SIDM01265,,plasma_cell,multiple_myeloma,,,
ACH-001836,ICC10-8,ICC108,ICC108_BILIARY_TRACT,,,Unknown,Academic lab,2,-4.20954270856511,Adherent,RPMI + 10% FBS,96.5,,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,,,bile_duct,cholangiocarcinoma,intrahepatic,,
ACH-000768,MDA-MB-231,MDAMB231,MDAMB231_BREAST,,905960,Female,ATCC,2,-3.83952064238625,Adherent,RPMI + 10% FBS,91,CVCL_0062,1013,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,51,SIDM00146,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,
ACH-000444,LU99,LU99,LU99_LUNG,,,Male,HSRRB,2,-4.45320832792993,Adherent,RPMI + 10% FBS,57,CVCL_3015,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",63,SIDM00546,,lung,NSCLC,NSCLC_large_cell,,
ACH-001300,CHLA15,CHLA15,CHLA15_AUTONOMIC_GANGLIA,,,Female,Children&#39,s Oncology Group,2,-2.77332638306461,not found,not found,91,CVCL_6594,,autonomic_ganglia,,Neuroblastoma,,1.5,,,peripheral_nervous_system,neuroblastoma,,
ACH-000192,MFE-280,MFE280,MFE280_ENDOMETRIUM,,908129,Female,DSMZ,,,,,,CVCL_1405,1540,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,77,SIDM00335,,uterus,endometrial_adenocarcinoma,,,
ACH-000820,SW403,SW403,SW403_LARGE_INTESTINE,,,Female,ATCC,1,-1.56986980766469,Adherent,L15 + 10% FBS,24.8,CVCL_0545,,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,51,SIDM00836,,colorectal,colorectal_adenocarcinoma,,,
ACH-001802,LPS853,LPS853,LPS853_SOFT_TISSUE,,,Unknown,Academic lab,2,-3.97037584003145,Adherent,IMDM + 15% FBS + 1% L-Glutamine + 1% Pen-Strep-Ampho,95.9,,,soft_tissue,,Liposarcoma,DDLPS,,,,soft_tissue,liposarcoma,DDLPS,,
ACH-000512,,INA6,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA-6,,Male,Academic lab,1,-2.18455736359658,not found,not found,98.5,CVCL_5209,,pleural_effusion,,Myeloma,Multiple Myeloma,,,,plasma_cell,multiple_myeloma,,,
ACH-000541,KMS-34,KMS34,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,1,-2.15524626940694,,RPMI + 10% FBS,97.4,CVCL_2996,,pleural_effusion,Primary,Myeloma,Multiple Myeloma,60,,,plasma_cell,multiple_myeloma,,,
ACH-000425,UACC-62,UACC62,UACC62_SKIN,,905976,Unknown,NCI/DCTD,2,-4.47016672680334,,RPMI + 10% FBS,73.1,CVCL_1780,8,skin,,Skin Cancer,Melanoma,,SIDM00107,,skin,melanoma,,,
ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249,Female,DSMZ,2,-3.99218071753911,Suspension,RPMI + 10% FBS,71.9,CVCL_1625,112,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56,SIDM00457,,plasma_cell,multiple_myeloma,,,
ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,,753622,Male,RIKEN,2,-3.47154021250835,,DMEM + 10% FBS,90.1,CVCL_1760,1561,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00349,,esophagus,esophagus_squamous,,,
ACH-001386,SCLC-22H,SCLC22H,SCLC22H_LUNG,,,Male,DSMZ,2,-4.00516004638802,Suspension,DMEM + 10-20% FBS,75.5,CVCL_2186,,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),46,SIDM00028,,lung,SCLC,,,
ACH-001750,TTC442,TTC442,TTC442_SOFT_TISSUE,,,Male,Academic lab,2,-3.94011186489741,Adherent,RPMI 1640 + 15% FBS,58.3,CVCL_B255,,soft_tissue,,Sarcoma,"Rhabdomyosarcoma, embryonal",,,,soft_tissue,rhabdomyosarcoma,embryonal,,
ACH-001849,ICC9,ICC9,ICC9_BILIARY_TRACT,,,Unknown,Academic lab,2,-3.30842009756462,Adherent,RPMI + 10% FBS,91,,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,,,bile_duct,cholangiocarcinoma,intrahepatic,,
ACH-000189,RCC10RGB,RCC10RGB,RCC10RGB_KIDNEY,,909974,Male,RIKEN,2,-2.02138733810581,Adherent,DMEM + 10% FBS,47.6,CVCL_1647,1640,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00235,,kidney,renal_cell_carcinoma,,,
ACH-000172,TM-87,TM87,TM87_SOFT_TISSUE,TM87,,Unknown,Academic lab,2,-2.12663731457843,not found,not found,30.3,CVCL_8001,,pleural_effusion,Metastasis,Rhabdoid,Malignant Rhabdoid Tumor,,,,soft_tissue,malignant_rhabdoid_tumor,,,
ACH-000810,SK-MEL-30,SKMEL30,SKMEL30_SKIN,,909726,Male,DSMZ,1,-2.65097321124203,Adherent,RPMI + 10% FBS,69.7,CVCL_0039,1789,skin,Metastasis,Skin Cancer,Melanoma,67,SIDM00392,,skin,melanoma,,,
ACH-000847,HGC-27,HGC27,HGC27_STOMACH,,907055,Unknown,ECACC,2,-2.82999114534117,Adherent,MEM + 10% FBS + 2mM L-glutamine + NEAA,59.1,CVCL_1279,1102,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00290,,gastric,gastric_adenocarcinoma,,,
ACH-000811,SK-OV-3,SKOV3,SKOV3_OVARY,,905959,Female,ATCC,3,-4.62032298549752,Adherent,McCoy's 5A + 10% FBS,79.4,CVCL_0532,1166,ascites,Metastasis,Ovarian Cancer,"Cystadenocarcinoma, endometrioid",64,SIDM00079,,ovary,ovary_adenocarcinoma,endometrioid,,
ACH-001539,KML-1,KML1,KML1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,JCRB,2,-2.55299414932413,Suspension,RPMI 1640 + 20% FBS,60,,,pleural_effusion,Primary,Lymphoma,"B-cell, Non-Hodgkins",28,,,lymphocyte,non_hodgkin_lymphoma,b_cell,,
ACH-000155,SW 1990,SW1990,SW1990_PANCREAS,,910907,Male,ATCC,,,,,,CVCL_1723,1912,spleen,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",56,SIDM01165,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000673,LN-443,LN443,LN443_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-5.05490965176898,not found,not found,,CVCL_3960,,central_nervous_system,,Brain Cancer,Glioblastoma,,,,central_nervous_system,glioma,glioblastoma,,
ACH-000487,F-36P,F36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2,-4.31822382986306,Suspension,RPMI + 20% FBS + 10ng/ml GM-CSF,82.3,CVCL_2037,,pleural_effusion,Metastasis,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",68,,,blood,AML,M6,,
ACH-000917,TE-4,TE4,TE4_OESOPHAGUS,,1503371,Female,RIKEN,2,-3.82840446850063,,RPMI + 10% FBS,63.8,CVCL_3337,382,lymph_node,,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00250,,esophagus,esophagus_squamous,,,
ACH-000969,KM12,KM12,KM12_LARGE_INTESTINE,,905989,Unknown,JCRB,3,-3.23489749311145,Adherent,RPMI + 10% FBS,80.1,CVCL_1331,1990,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00150,,colorectal,colorectal_adenocarcinoma,,MSI,
ACH-000053,KARPAS-299,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907273,Male,Academic lab,3,-5.35130251500497,Suspension,RPMI + 20% FBS + 2mM Glutamine,55.5,CVCL_1324,906,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,SIDM01010,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,
ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053,Male,DSMZ,2,-3.07920202781745,Suspension,RPMI + 10% FBS,52.4,CVCL_0001,783,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,,blood,AML,M6,,
ACH-000163,SW579,SW579,SW579_THYROID,,,Male,ATCC,2,-4.24510400959277,Adherent,DMEM + 10% FBS,52.5,CVCL_3603,,thyroid,Primary,Thyroid Cancer,Squamous Cell Carcinoma,59,SIDM01167,,thyroid,thyroid_squamous,,,
ACH-001715,CAL-72,CAL72,CAL72_BONE,,906827,Male,DSMZ,2,-2.92391600495528,Adherent,DMEM + 10% FBS + 2 mM L-glutamine + 1x insulin-transferrin-sodium selenite,56.8,CVCL_1113,550,bone,,Bone Cancer,Osteosarcoma,10,SIDM00930,,bone,osteosarcoma,,,
ACH-001408,UM-UC-14,UMUC14,UMUC14_URINARY_TRACT,,,Male,Sigma-Aldrich,2,-4.46255009213947,Adherent,EMEM (EBSS) + 10% FBS + 2 mM Glutamine + 1% Non Essential Amino Acids (NEAA),70.5,CVCL_2747,,urinary_tract,Metastasis,Bladder Cancer,Transitional Cell Carcinoma,,,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,
ACH-000787,LXF-289,LXF289,LXF289_LUNG,,753592,Male,DSMZ,3,-5.02263737079317,Adherent,F12 + 10% FBS,82.2,CVCL_1394,1175,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",63,SIDM00339,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000407,SNU-685,SNU685,SNU685_ENDOMETRIUM,,,Female,KCLB,2,-4.17512505200711,,RPMI + 10% FBS,84.1,CVCL_5083,,endometrium,Primary,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),70,SIDM00165,,uterus,MMMT,,,
ACH-001651,SKG-I,SKGI,SKGI_ENDOMETRIUM,,,Female,JCRB,2,-2.87230393518235,Adherent,Ham's F12 + 10% FBS,93.9,CVCL_2793,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Squamous Cell Carcinoma,,,,uterus,endometrial_squamous,,,
ACH-001306,8305C,8305C,8305C_THYROID,,906795,Female,DSMZ,2,-4.77851779658255,Adherent,RPMI + 15% FBS,91.4,CVCL_1053,433,thyroid,Primary,Thyroid Cancer,Carcinoma,67,SIDM00997,,thyroid,thyroid_carcinoma,,,
ACH-001277,Yamato,YAMATO,YAMATO_SOFT_TISSUE,,,Unknown,Academic lab,2,-2.65514399294191,not found,not found,81,CVCL_6C44,,soft_tissue,Metastasis,Sarcoma,Synovial,,,,soft_tissue,synovial_sarcoma,,,
ACH-000524,KURAMOCHI,KURAMOCHI,KURAMOCHI_OVARY,,909975,Female,HSRRB,3,-5.85514971346826,,RPMI + 10% FBS,52.1,CVCL_1345,854,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00554,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-002458,HT144 SKIN FV1,HT144SKINFV1,HT144_SKIN_FV1_RESISTANT,HT144_Dab,,Male,Academic lab,2,-3.33464256893834,Adherent,RPMI 1640 + 10% FBS + PenStrepGlut,74.2,,,skin,,Skin Cancer,Melanoma,29,,Drug resistance: Dabrafenib,skin,melanoma,,,
ACH-000406,U-937,U937,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,3,-6.26716363180508,Suspension,RPMI + 10% FBS,76.1,CVCL_0007,,pleural_effusion,Metastasis,Leukemia,Acute Myelogenous Leukemia (AML),37,SIDM01195,,blood,AML,,,
ACH-000962,OC 314,OC314,OC314_OVARY,,909257,Female,ICLC,,,,,,CVCL_1616,896,ascites,Metastasis,Ovarian Cancer,"Cystadenocarcinoma, clear cell",39,SIDM00220,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-000383,OE33,OE33,OE33_OESOPHAGUS,,910549,Female,HPACC,2,-3.50742261299151,Adherent,RPMI + 10% FBS,89.6,CVCL_0471,1554,oesophagus,Primary,Esophageal Cancer,Adenocarcinoma,73,SIDM00477,,esophagus,esophagus_adenocarcinoma,,,
ACH-000571,T98G,T98G,T98G_CENTRAL_NERVOUS_SYSTEM,,687586,Male,ATCC,2,-4.70559671766586,Adherent,EMEM + 10% FBS,79.6,CVCL_0556,131,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,SIDM01171,,central_nervous_system,glioma,glioblastoma,,
ACH-001611,NP 8,NP8,NP8_CENTRAL_NERVOUS_SYSTEM,,,Female,JCRB,1,-3.70691539918266,Adherent,DMEM + 10% FBS,54.4,CVCL_4W66,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,38,,,central_nervous_system,glioma,glioblastoma,,
ACH-001719,OCI-C4P,OCIC4P,OCIC4P_OVARY,,,Female,Academic lab,2,-4.60162010505396,Adherent,OCMI-L made by UMiami,78.9,,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-001173,,R262,R262_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-4.92699600317844,not found,not found,93,CVCL_VU83,,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,central_nervous_system,medulloblastoma,,,
ACH-000466,SNU-216,SNU216,SNU216_STOMACH,,,Female,KCLB,2,-2.66920986405595,,RPMI + 10% FBS,73.3,CVCL_3946,,lymph_node,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",46,,,gastric,gastric_adenocarcinoma,tubular,,
ACH-000959,SNU-C4,SNUC4,SNUC4_LARGE_INTESTINE,,,Male,KCLB,2,-4.11199988104964,,RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,57,CVCL_5111,,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,35,SIDM00500,,colorectal,colorectal_adenocarcinoma,,MSI,
ACH-000756,GI-1,GI1,GI1_CENTRAL_NERVOUS_SYSTEM,,906871,Male,RIKEN,1,-3.67104051822169,Adherent,DMEM + 10% FBS,95.9,CVCL_1231,245,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,SIDM00273,,central_nervous_system,glioma,glioblastoma,,
ACH-000823,KYSE-140,KYSE140,KYSE140_OESOPHAGUS,,753573,Male,DSMZ,2,-4.75414517876563,Adherent,RPMI + 10% FBS,93,CVCL_1347,951,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,54,SIDM01032,,esophagus,esophagus_squamous,,,
ACH-001622,Onda 7,ONDA7,ONDA7_CENTRAL_NERVOUS_SYSTEM,,,Male,JCRB,1,-4.68794854388183,Adherent,DMEM + 10% FBS,66,,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,51,,,central_nervous_system,glioma,glioblastoma,,
ACH-000424,TC-71,TC71,TC71_BONE,,1240221,Male,DSMZ,2,-2.40500688775356,,IMDM + 10% FBS,57.4,CVCL_2213,2194,bone,Primary,Bone Cancer,Ewings Sarcoma,22,SIDM00419,,bone,Ewing_sarcoma,,,
ACH-000699,HCC1395,HCC1395,HCC1395_BREAST,,749712,Female,ATCC,3,-5.13397426263218,Adherent,RPMI + 10% FBS,47.4,CVCL_1249,94,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,43,SIDM00884,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,
ACH-000167,KE-97,KE97,KE97_STOMACH,,,Male,RIKEN,2,-2.29266740199477,Adherent,RPMI + 10% FBS,89.5,CVCL_3386,,abdomen,Metastasis,Myeloma,Myeloma,52,,,plasma_cell,multiple_myeloma,,,
ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,,1298476,Male,ATCC,4,-5.3940093451945,Adherent,RPMI + 15% FBS + 20ug/ml Insulin,83.1,CVCL_1636,2123,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70,SIDM01137,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000188,SCC-25,SCC25,SCC25_UPPER_AERODIGESTIVE_TRACT,,910701,Male,ATCC,2,-3.55165215606027,Adherent,DMEM:F12 (1:1) + 10% FBS + 0.4ug/ml Hydrocortisone,90.7,CVCL_1682,1419,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,70,SIDM01082,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-000771,BICR 56,BICR56,BICR56_UPPER_AERODIGESTIVE_TRACT,,,Female,ECACC,2,-4.86205285047774,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,80.7,CVCL_2313,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000202,COLO-320,COLO320,COLO320_LARGE_INTESTINE,,,Female,DSMZ,3,-1.64143105525333,Suspension,RPMI + 10% FBS,62.4,CVCL_1989,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,55,SIDM00071,,colorectal,colorectal_adenocarcinoma,,,
ACH-000736,SNU-601,SNU601,SNU601_STOMACH,,,Male,KCLB,2,-3.55878053369668,,RPMI + 10% FBS,92.3,CVCL_0101,,ascites,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",34,,,gastric,gastric_adenocarcinoma,signet_ring_cell,,
ACH-000322,HT-144,HT144,HT144_SKIN,,907067,Male,ATCC,2,-3.27156035038492,Adherent,McCoy's 5A + 10% FBS,49.5,CVCL_0318,1193,skin,Metastasis,Skin Cancer,Melanoma,29,SIDM00695,,skin,melanoma,,,
ACH-000256,COV318,COV318,COV318_OVARY,,,Female,ECACC,2,-3.20911878978463,Adherent,EMEM + 10% FBS + 2mM Glutamine,71.7,CVCL_2419,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-001396,"SUM-52PE, SUM52",SUM52PE,SUM52PE_BREAST,,,Female,Asterand,1,-2.38655988030276,Adherent,Ham's F12 + 5% FBS + 10mM HEPES + 1ug/ml Hydrocortisone + 5ug/ml Insulin,85.4,CVCL_3425,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,,,,breast,breast_carcinoma,ERpos_HER2pos,luminal,
ACH-000178,Hs 766T,HS766T,HS766T_PANCREAS,,1298141,Male,ATCC,2,-4.27468016958735,Adherent,DMEM + 10% FBS,93.8,CVCL_0334,1843,lymph_node,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",46,SIDM00664,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000966,IGROV1,IGROV1,IGROV1_OVARY,,905968,Female,NCI/DCTD,,,,,,CVCL_1304,1215,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mixed",47,SIDM00151,,ovary,ovary_adenocarcinoma,mixed_endometrioid_clear_cell,,
ACH-001804,LPS510,LPS510,LPS510_SOFT_TISSUE,,,Unknown,Academic lab,1,-2.65185946937928,Adherent,IMDM + 15% FBS + 1% L-Glutamine + 1% Pen-Strep-Ampho,83,,,soft_tissue,,Liposarcoma,WD/DDLPS,,,,soft_tissue,liposarcoma,WD_DDPLS,,
ACH-000609,SF126,SF126,SF126_CENTRAL_NERVOUS_SYSTEM,,909712,Female,HSRRB,0,-2.68821557119096,,EMEM + 10% FBS,43.7,CVCL_1688,1677,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00382,,central_nervous_system,glioma,astrocytoma,,
ACH-000677,SW 1573,SW1573,SW1573_LUNG,,724878,Female,ATCC,2,-3.51784976380735,Adherent,L15 + 10% FBS,89.2,CVCL_1720,849,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",44,SIDM01163,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000666,NCI-H1355,NCIH1355,NCIH1355_LUNG,,724866,Male,ATCC,,,,,,CVCL_1464,1780,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",53,SIDM00645,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000971,HCT 116,HCT116,HCT116_LARGE_INTESTINE,,905936,Male,ATCC,,,,,,CVCL_0291,1920,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00783,,colorectal,colorectal_adenocarcinoma,,MSI,
ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,,687800,Male,ATCC,2,-3.02329575034401,Adherent,RPMI + 10% FBS,91.5,CVCL_1483,1548,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,SIDM00745,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-001495,EMTOKA,EMTOKA,EMTOKA_ENDOMETRIUM,,,Female,JCRB,1,-3.57434866750193,Adherent,RPMI 1640 + 10% FBS,79.3,,,endometrium,Primary,Endometrial/Uterine Cancer,Uterine Carcinosarcoma,64,,,uterus,uterine_carcinosarcoma,,,
ACH-000906,ES-2,ES2,ES2_OVARY,,1240128,Female,ATCC,3,-5.85728049379224,Adherent,RPMI + 10% FBS,94.1,CVCL_3509,869,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",47,SIDM00861,,ovary,ovary_adenocarcinoma,clear_cell,,
ACH-000070,697,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906800,Male,DSMZ,2,-3.46314311660023,Adherent,RPMI + 20% heat inactivated FBS,52,CVCL_0079,63,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,SIDM01076,,blood,ALL,b_cell,,
ACH-000855,KYSE-150,KYSE150,KYSE150_OESOPHAGUS,,907317,Female,DSMZ,2,-3.3315422689064,Adherent,RPMI:F12 (1:1) + 10% FBS,86.4,CVCL_1348,407,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,49,SIDM01031,,esophagus,esophagus_squamous,,,
